	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
4	1.0196985	-0.39319223	-0.511077	0.63795537	-0.74228543	0.6278298	-1.5180478	0.18766329	-1.1408869	-1.2906839	-1.3048968	1.019527	0.18362103	1.3835229	0.37589628	1.4288644
54	0.31201318	-1.5129547	-0.430378	-1.7676128	0.60214204	-0.10117146	-0.7393684	1.4906414	1.4138224	1.4288087	0.77896994	0.08995685	-0.53801656	0.1849406	-0.023994012	-1.1706058
73	-0.99187094	0.98194945	1.0168895	0.83734447	0.69993526	-0.609118	1.8250502	-0.35198304	-0.74829596	-0.5441777	-1.6281079	-0.78744096	0.034289207	-1.3182601	0.68635285	0.9380137
101	0.20297213	-0.500512	0.07079055	-1.3158432	1.0592176	0.4254388	0.37312979	0.13725294	1.1552083	0.38049033	1.9857861	0.054389335	0.2999827	-1.33518	-1.3396412	-1.6195083
124	0.50016266	-1.064927	-0.57025605	-1.8656433	1.3006744	-0.062519774	0.5189998	0.502617	0.5563349	0.59069276	2.035773	0.43598437	-0.15492077	-0.54628426	-0.8316768	-1.3359601
128	0.0022999798	-1.6625355	0.7972912	-0.8455745	0.91076773	0.5077522	0.8739664	0.83580524	0.8341552	0.38657427	1.4664963	-0.047507938	-0.17611024	-1.8578322	-0.79044974	-1.1873908
132	0.20454544	-0.4671755	0.10781922	-1.2293923	0.65561175	0.3298522	0.5413188	0.32359424	1.6520232	0.664202	1.7596233	-0.33359352	-0.055956956	-1.5039316	-0.8368548	-1.7657251
176	-1.1515445	1.3394346	0.037941653	1.7826186	-1.1341124	-0.2783975	0.6113782	-1.3816234	-1.2736653	-0.011417598	-1.1318984	0.040002663	0.5158778	0.2169801	0.4796567	1.3431228
278	0.34260744	0.152295	-0.8136285	1.0866102	-0.70181733	0.72656536	-1.4873799	-0.4067369	-1.4255824	-0.82314354	-1.2989979	1.0271714	0.47492167	1.4342498	0.3712454	1.3085736
349	0.41255233	0.03006156	-1.5005826	-0.97440577	0.72235525	1.2113425	-0.28074318	-0.55669516	1.3294772	0.8112813	0.70694935	0.8701583	0.85518736	-1.119725	-0.6958745	-1.787635
363	0.67726225	-0.29537448	-1.0975945	0.42993975	-0.20991048	-1.0656402	-1.427916	0.39212367	-0.35938185	1.3142161	-1.4479958	0.5396221	-1.0595429	1.266357	1.127261	1.1915239
366	0.38304248	0.044899937	-0.9232047	0.9130166	-0.4089769	-1.2904202	-1.2994058	0.13792989	-0.7574804	1.273594	-1.1739042	0.31480914	-1.0331833	1.4475478	1.0315672	1.3100731
411	-0.45187294	0.66610146	0.39746574	1.3288553	-0.9676816	-0.24491446	-1.5771838	-0.46668375	-1.4220241	-0.27022564	-1.2153847	0.3207948	0.4025977	1.6579033	0.408188	1.4105052
414	-0.6390563	1.5445669	0.05323155	1.6206656	-1.2255087	-0.48411664	-0.22093375	-1.0239954	-1.3311508	-0.3590828	-1.1931018	-0.088043645	0.44701117	0.707035	0.58646834	1.5975974
422	-0.37720412	1.232596	0.16118072	1.5517143	-1.1946949	-0.011536056	-1.0251739	-0.87006927	-1.4122336	-0.4377392	-1.35766	0.33507535	0.5037325	1.0225015	0.3954589	1.4709843
434	0.3407315	-0.6926429	-1.579818	-2.3053792	0.3626379	0.49345803	0.13819407	0.21745151	1.0914956	0.94968253	1.0533152	1.4158138	-0.1730946	-0.013957197	-0.2774976	-1.0140373
443	-0.9964075	1.6047336	0.6500686	1.486008	-0.9414827	-0.6150933	0.4259007	-0.8154398	-0.93719023	-0.41317838	-1.4930488	-0.708512	0.31689793	0.19700018	0.6307944	1.6192993
448	0.6383145	-1.18035	-0.8165279	-1.5680306	0.17358609	0.16741414	-1.4463525	1.2641488	-0.47970438	1.0835259	-0.2658497	1.3300265	-0.6835876	1.5859406	0.2645266	-0.08708584
521	0.79319096	-1.1747106	-0.8100537	-1.6326989	0.2699121	-0.25091934	-1.4346659	1.1326532	-0.45630127	1.1737107	-0.026043445	1.3402215	-0.7871193	1.4041828	0.4752774	-0.037677854
599	-1.3423076	1.6049315	0.79678154	1.3745284	-0.44463304	-0.7155197	1.0328774	-0.9154536	-0.6400147	-0.070309035	-1.4162047	-1.0998147	0.41422802	-0.36560175	0.6076285	1.2065365
609	0.25886965	-0.03411022	-1.5119219	0.75994307	-0.6104889	0.5265718	-1.4578379	-0.13815689	-1.1930845	-0.023539228	-1.161881	1.4402725	-0.147638	1.7073656	0.46008962	1.086639
688	-0.24141608	-0.6630897	-0.37333533	-1.4366828	0.59607947	-0.8813766	-0.57251275	1.3922126	1.4916829	0.9965638	1.2907429	-0.62062687	-1.1114658	1.2822521	-0.19282933	-0.96374756
771	-0.98243636	1.5910242	0.41050547	1.7874142	-1.2681707	0.089395925	0.05983558	-1.2379568	-1.2146801	-0.0484695	-1.3583317	0.08103463	0.49210542	0.08054004	0.30899334	1.2228376
852	0.72015804	-0.407934	-0.7239792	0.7178503	-0.5590361	0.6285039	-1.6506281	0.1577752	-1.2377908	-1.0168732	-1.2459168	1.0921925	0.14744091	1.5483955	0.4300084	1.3611833
924	1.0869392	-0.016632516	-0.6584656	0.67691326	-0.71125317	0.42555222	-1.4696131	-0.108222805	-1.3815761	-1.207042	-1.1559716	1.0551685	0.144133	1.4031352	0.44394013	1.4331193
951	-1.3772126	-0.034686636	1.1948475	1.1118534	0.7253115	-0.4759468	1.587793	-0.1913243	-0.50208014	-0.298317	-1.6247904	-0.82077014	-0.3190948	-1.0754818	0.84553796	1.2908206
1015	0.87521225	-0.2432	-0.64877623	0.7575453	-0.7301143	0.66485614	-1.405708	0.050087508	-1.2231108	-1.240469	-1.4006578	1.0531179	0.2649255	1.3039894	0.41543648	1.4719588
1105	0.33653668	-1.2646518	-0.8917265	0.20302844	-0.09958938	0.40764868	-1.6011124	1.1132944	-0.7936604	-0.6502928	-1.2060452	0.9121226	-0.08157283	1.8225043	0.55474746	1.1993992
1163	-1.2078407	1.0583159	0.9088406	0.9106702	0.514186	-0.7513674	1.7145636	-0.40246025	-0.7029964	-0.4032452	-1.5322065	-0.90176696	0.1284768	-1.1825877	0.7706226	1.1170594
1164	-0.07008778	-0.6545105	-0.5383324	-1.5176153	0.55699337	-0.6573528	-0.6901628	1.3230191	1.5338033	1.1362972	1.1668596	-0.58453095	-0.91281056	1.3262743	-0.36748046	-1.0573912
1200	-0.91117525	0.8364282	0.84597373	0.7801091	0.22243382	0.13783167	1.9326035	-0.060433723	0.28106102	0.18652722	-1.6422487	-1.0047476	0.40447277	-2.0595872	0.37136564	-0.24757639
1282	-0.24066542	-0.14202447	-0.9081275	1.171428	-0.38478732	-0.31317967	-1.6665548	-0.09546543	-1.4600165	0.39503056	-1.0319349	0.763764	0.05186496	1.89551	0.6434094	1.2825892
1500	0.23053223	-0.44632372	-0.10582954	-1.485712	0.96393204	0.39964578	0.26806927	0.126326	1.2517384	0.5152797	2.0246582	0.12134268	0.22668841	-1.2149287	-1.2688073	-1.5748161
1547	-0.6177336	1.5104295	0.49158737	1.3731062	-1.0812812	-0.69206417	-0.7132715	-0.68940395	-1.2479627	-0.52609897	-1.2553546	-0.34303823	0.67805344	0.91671807	0.56235915	1.6253179
1585	-0.19302069	1.0722879	0.066698775	1.562339	-1.1226556	-0.38320646	-0.86113966	-0.8296966	-1.5343089	-0.498152	-1.2825365	0.3102769	0.43710977	1.0190531	0.5614965	1.6560003
1602	-1.1998019	1.2050738	0.8154934	1.2790318	-0.12805241	-0.42723027	1.5804548	-0.8002766	-0.52664644	-0.10575042	-1.5168642	-0.99213177	0.48512843	-1.232214	0.62284595	0.98488957
1637	0.29363158	-0.15010376	-0.60549825	-1.7393482	0.79714805	-0.40052247	-0.32636765	0.6673613	1.3550751	0.57255834	1.8733866	-0.3924096	-0.24899182	0.8637507	-0.8212287	-1.7425367
